transaction_id,timestamp,customer_id,product_name,category,quantity,unit_price,total,payment_method,status
TXN-0090,2025-01-08T03:22:54,CUST-1143,Water Bottle,sports,1,19.99,19.99,credit_card,completed
TXN-0091,2025-01-08T05:29:24,CUST-1070,Throw Pillow,home,2,22.99,45.98,credit_card,completed
TXN-0092,2025-01-08T05:51:44,CUST-1133,Winter Jacket,clothing,1,129.99,129.99,credit_card,completed
TXN-0093,2025-01-08T09:21:10,CUST-1097,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0094,2025-01-08T09:54:45,CUST-1037,Novel Bestseller,books,1,14.99,14.99,credit_card,completed
TXN-0095,2025-01-08T10:38:20,CUST-1157,Programming Guide,books,1,3.99,3.99,debit_card,completed
TXN-0096,2025-01-08T10:49:10,CUST-1020,Denim Jeans,clothing,2,59.99,119.98,debit_card,completed
TXN-0097,2025-01-08T13:31:03,CUST-1037,Coffee Maker,home,1,69.99,69.99,credit_card,completed
TXN-0098,2025-01-08T13:37:25,CUST-1135,USB-C Cable,electronics,1,12.99,12.99,credit_card,completed
TXN-0099,2025-01-08T13:38:39,CUST-1124,Programming Guide,books,2,3.99,7.98,credit_card,completed
TXN-0100,2025-01-08T13:40:50,CUST-1160,Winter Jacket,clothing,1,129.99,129.99,debit_card,completed
TXN-0101,2025-01-08T14:28:46,CUST-1108,Programming Guide,books,3,3.99,11.97,credit_card,completed
TXN-0102,2025-01-08T14:48:17,CUST-1085,Yoga Mat,sports,1,34.99,34.99,debit_card,completed
TXN-0103,2025-01-08T15:01:23,CUST-1142,Desk Lamp,home,1,44.99,44.99,debit_card,completed
TXN-0104,2025-01-08T15:01:39,CUST-1144,Water Bottle,sports,3,19.99,59.97,credit_card,completed
TXN-0105,2025-01-08T16:43:28,CUST-1003,Wireless Headphones,electronics,2,79.99,159.98,credit_card,refunded
TXN-0106,2025-01-08T19:51:22,CUST-1057,Throw Pillow,home,1,22.99,22.99,credit_card,completed
TXN-0107,2025-01-08T21:45:42,CUST-1164,Programming Guide,books,2,3.99,7.98,credit_card,completed
TXN-0108,2025-01-08T22:10:19,CUST-1142,Wireless Headphones,electronics,1,79.99,79.99,credit_card,completed
TXN-0109,2025-01-08T22:14:19,CUST-1176,Cookbook,books,2,24.99,49.98,paypal,refunded
TXN-0110,2025-01-08T22:38:45,CUST-1053,Cotton T-Shirt,clothing,3,29.99,89.97,debit_card,completed
TXN-0111,2025-01-09T02:49:17,CUST-1090,Throw Pillow,home,1,22.99,22.99,paypal,refunded
TXN-0112,2025-01-09T05:16:58,CUST-1124,Novel Bestseller,books,1,14.99,14.99,credit_card,completed
TXN-0113,2025-01-09T05:37:27,CUST-1163,Cookbook,books,1,24.99,24.99,credit_card,completed
TXN-0114,2025-01-09T06:42:45,CUST-1081,Running Shoes,sports,1,89.99,89.99,credit_card,completed
TXN-0115,2025-01-09T07:34:18,CUST-1044,Novel Bestseller,books,1,14.99,14.99,crypto,completed
TXN-0116,2025-01-09T09:17:31,CUST-1038,USB-C Cable,electronics,1,12.99,12.99,credit_card,completed
TXN-0117,2025-01-09T09:20:07,CUST-1002,Winter Jacket,clothing,2,129.99,259.98,credit_card,completed
TXN-0118,2025-01-09T10:28:04,CUST-1009,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0119,2025-01-09T10:46:00,CUST-1180,Programming Guide,books,3,3.99,11.97,credit_card,completed
TXN-0120,2025-01-09T11:17:50,CUST-1102,USB-C Cable,electronics,1,12.99,12.99,credit_card,completed
TXN-0121,2025-01-09T13:31:01,CUST-1100,Water Bottle,sports,2,19.99,39.98,credit_card,completed
TXN-0122,2025-01-09T15:02:05,CUST-1015,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0123,2025-01-09T15:07:52,CUST-1017,Cotton T-Shirt,clothing,1,29.99,29.99,debit_card,completed
TXN-0124,2025-01-09T16:04:16,CUST-1183,Desk Lamp,home,2,44.99,89.98,debit_card,completed
TXN-0125,2025-01-09T17:18:01,CUST-1129,Cookbook,books,2,24.99,49.98,credit_card,completed
TXN-0126,2025-01-09T17:54:51,CUST-1100,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0127,2025-01-09T18:02:48,CUST-1194,Phone Case,electronics,1,24.99,24.99,paypal,completed
TXN-0128,2025-01-09T19:44:56,CUST-1071,Denim Jeans,clothing,1,59.99,59.99,credit_card,completed
TXN-0129,2025-01-09T20:07:54,CUST-1135,Programming Guide,books,3,3.99,11.97,credit_card,completed
TXN-0130,2025-01-09T20:08:44,CUST-1034,Running Shoes,sports,1,89.99,89.99,credit_card,completed
TXN-0131,2025-01-09T21:00:57,CUST-1120,Yoga Mat,sports,2,34.99,69.98,credit_card,completed
TXN-0132,2025-01-09T22:28:13,CUST-1157,Yoga Mat,sports,2,34.99,69.98,debit_card,completed
TXN-0133,2025-01-09T22:51:54,CUST-1083,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0134,2025-01-09T22:59:43,CUST-1166,USB-C Cable,electronics,2,12.99,25.98,credit_card,completed
TXN-0135,2025-01-10T01:14:25,CUST-1154,Wireless Headphones,electronics,1,79.99,79.99,credit_card,completed
TXN-0136,2025-01-10T02:32:58,CUST-1053,Novel Bestseller,books,1,14.99,14.99,credit_card,completed
TXN-0137,2025-01-10T03:32:49,CUST-1139,Cookbook,books,2,24.99,49.98,debit_card,completed
TXN-0138,2025-01-10T03:53:12,CUST-1076,Running Shoes,sports,1,89.99,89.99,credit_card,completed
TXN-0139,2025-01-10T07:19:49,CUST-1074,Coffee Maker,home,1,69.99,69.99,paypal,completed
TXN-0140,2025-01-10T07:51:12,CUST-1038,Wireless Headphones,electronics,1,79.99,79.99,debit_card,completed
TXN-0141,2025-01-10T08:14:07,CUST-1185,Running Shoes,sports,1,89.99,89.99,crypto,completed
TXN-0142,2025-01-10T11:15:44,CUST-1018,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0143,2025-01-10T11:42:37,CUST-1045,Programming Guide,books,1,3.99,3.99,paypal,completed
TXN-0144,2025-01-10T11:55:49,CUST-1013,Cookbook,books,2,24.99,49.98,credit_card,completed
TXN-0145,2025-01-10T12:29:34,CUST-1167,Water Bottle,sports,1,19.99,19.99,credit_card,completed
TXN-0146,2025-01-10T14:02:37,CUST-1094,Coffee Maker,home,1,69.99,69.99,credit_card,completed
TXN-0147,2025-01-10T14:20:59,CUST-1193,USB-C Cable,electronics,1,12.99,12.99,debit_card,refunded
TXN-0148,2025-01-10T14:56:44,CUST-1125,USB-C Cable,electronics,1,12.99,12.99,paypal,completed
TXN-0149,2025-01-10T15:15:51,CUST-1176,Cotton T-Shirt,clothing,1,29.99,29.99,credit_card,completed
TXN-0150,2025-01-10T16:25:52,CUST-1140,Winter Jacket,clothing,1,129.99,129.99,crypto,completed
TXN-0151,2025-01-10T17:36:09,CUST-1145,Programming Guide,books,3,3.99,11.97,debit_card,completed
TXN-0152,2025-01-10T18:21:32,CUST-1131,Denim Jeans,clothing,1,59.99,59.99,debit_card,completed
TXN-0153,2025-01-10T18:27:19,CUST-1146,Desk Lamp,home,1,44.99,44.99,paypal,completed
TXN-0154,2025-01-10T19:19:22,CUST-1027,Desk Lamp,home,1,44.99,44.99,credit_card,completed
TXN-0155,2025-01-10T20:47:44,CUST-1092,Programming Guide,books,3,3.99,11.97,credit_card,completed
TXN-0156,2025-01-10T21:25:52,CUST-1195,Denim Jeans,clothing,1,59.99,59.99,credit_card,completed
TXN-0157,2025-01-11T07:07:01,CUST-1189,Phone Case,electronics,1,24.99,24.99,credit_card,completed
TXN-0158,2025-01-11T08:21:58,CUST-1158,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0159,2025-01-11T10:21:47,CUST-1020,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0160,2025-01-11T11:09:43,CUST-1122,USB-C Cable,electronics,1,12.99,12.99,credit_card,completed
TXN-0161,2025-01-11T13:34:24,CUST-1026,Programming Guide,books,2,3.99,7.98,debit_card,completed
TXN-0162,2025-01-11T14:58:34,CUST-1088,Denim Jeans,clothing,1,59.99,59.99,crypto,completed
TXN-0163,2025-01-11T17:06:21,CUST-1078,Programming Guide,books,1,3.99,3.99,credit_card,completed
TXN-0164,2025-01-11T17:24:29,CUST-1083,Cookbook,books,1,24.99,24.99,paypal,completed
TXN-0165,2025-01-11T18:38:05,CUST-1014,Phone Case,electronics,1,24.99,24.99,debit_card,completed
TXN-0166,2025-01-11T19:08:38,CUST-1097,Phone Case,electronics,1,24.99,24.99,paypal,completed
TXN-0167,2025-01-11T20:40:31,CUST-1167,Programming Guide,books,1,3.99,3.99,paypal,refunded
TXN-0168,2025-01-11T21:51:10,CUST-1190,Running Shoes,sports,1,89.99,89.99,debit_card,completed
TXN-0169,2025-01-11T22:04:35,CUST-1139,Yoga Mat,sports,2,34.99,69.98,credit_card,completed
TXN-0170,2025-01-12T01:48:46,CUST-1113,Denim Jeans,clothing,1,59.99,59.99,credit_card,completed
TXN-0171,2025-01-12T04:27:08,CUST-1011,Yoga Mat,sports,1,34.99,34.99,credit_card,completed
TXN-0172,2025-01-12T12:47:28,CUST-1099,Water Bottle,sports,3,19.99,59.97,debit_card,completed
TXN-0173,2025-01-12T14:46:44,CUST-1116,Water Bottle,sports,1,19.99,19.99,credit_card,completed
TXN-0174,2025-01-12T16:17:51,CUST-1022,Coffee Maker,home,1,69.99,69.99,credit_card,completed
TXN-0175,2025-01-12T16:22:27,CUST-1191,Denim Jeans,clothing,1,59.99,59.99,paypal,completed
TXN-0176,2025-01-12T17:49:59,CUST-1136,Programming Guide,books,1,39.99,39.99,credit_card,completed
TXN-0177,2025-01-12T19:11:52,CUST-1173,Coffee Maker,home,2,69.99,139.98,debit_card,completed
TXN-0178,2025-01-12T19:34:10,CUST-1083,Coffee Maker,home,1,69.99,69.99,debit_card,completed
TXN-0179,2025-01-12T20:10:03,CUST-1102,Throw Pillow,home,1,22.99,22.99,paypal,completed
TXN-0180,2025-01-12T21:23:04,CUST-1130,Throw Pillow,home,1,22.99,22.99,credit_card,completed
TXN-0181,2025-01-12T23:44:34,CUST-1108,Desk Lamp,home,2,44.99,89.98,credit_card,completed
TXN-0182,2025-01-13T00:47:39,CUST-1051,Winter Jacket,clothing,1,129.99,129.99,credit_card,completed
TXN-0183,2025-01-13T06:27:52,CUST-1055,Winter Jacket,clothing,1,129.99,129.99,credit_card,completed
TXN-0184,2025-01-13T07:54:49,CUST-1106,Wireless Headphones,electronics,1,79.99,79.99,debit_card,completed
TXN-0185,2025-01-13T08:12:07,CUST-1117,USB-C Cable,electronics,2,12.99,25.98,paypal,completed
TXN-0186,2025-01-13T08:52:00,CUST-1191,Running Shoes,sports,1,89.99,89.99,credit_card,completed
TXN-0187,2025-01-13T09:16:46,CUST-1169,Programming Guide,books,2,39.99,79.98,credit_card,completed
TXN-0188,2025-01-13T10:13:29,CUST-1084,Water Bottle,sports,2,19.99,39.98,credit_card,completed
TXN-0189,2025-01-13T12:52:22,CUST-1198,Novel Bestseller,books,1,14.99,14.99,credit_card,completed
TXN-0190,2025-01-13T16:28:48,CUST-1141,Yoga Mat,sports,2,34.99,69.98,debit_card,completed
TXN-0191,2025-01-13T19:29:33,CUST-1065,Denim Jeans,clothing,2,59.99,119.98,credit_card,completed
TXN-0192,2025-01-13T21:38:38,CUST-1011,Cookbook,books,1,24.99,24.99,crypto,completed
TXN-0193,2025-01-13T21:47:57,CUST-1045,Desk Lamp,home,1,44.99,44.99,credit_card,completed
TXN-0194,2025-01-14T00:14:34,CUST-1089,Throw Pillow,home,2,22.99,45.98,credit_card,refunded
TXN-0195,2025-01-14T03:00:06,CUST-1067,Running Shoes,sports,1,89.99,89.99,debit_card,completed
TXN-0196,2025-01-14T03:48:40,CUST-1181,Cookbook,books,1,24.99,24.99,credit_card,completed
TXN-0197,2025-01-14T05:12:08,CUST-1139,Programming Guide,books,3,39.99,119.97,debit_card,completed
TXN-0198,2025-01-14T05:42:42,CUST-1022,Denim Jeans,clothing,3,59.99,179.97,credit_card,refunded
TXN-0199,2025-01-14T08:02:00,CUST-1086,Novel Bestseller,books,1,14.99,14.99,credit_card,completed
TXN-0200,2025-01-14T09:17:03,CUST-1143,Desk Lamp,home,2,44.99,89.98,credit_card,completed
TXN-0201,2025-01-14T10:20:42,CUST-1027,Cookbook,books,1,24.99,24.99,credit_card,completed
TXN-0202,2025-01-14T10:25:44,CUST-1076,Denim Jeans,clothing,1,59.99,59.99,credit_card,completed
TXN-0203,2025-01-14T10:59:50,CUST-1130,Yoga Mat,sports,2,34.99,69.98,credit_card,completed
TXN-0204,2025-01-14T13:09:19,CUST-1097,Phone Case,electronics,2,24.99,49.98,debit_card,completed
TXN-0205,2025-01-14T14:44:38,CUST-1121,Yoga Mat,sports,1,34.99,34.99,credit_card,completed
TXN-0206,2025-01-14T14:56:14,CUST-1106,Water Bottle,sports,2,19.99,39.98,credit_card,completed
TXN-0207,2025-01-14T17:31:03,CUST-1089,Throw Pillow,home,2,22.99,45.98,debit_card,completed
TXN-0208,2025-01-14T18:04:08,CUST-1082,Throw Pillow,home,1,22.99,22.99,credit_card,completed
TXN-0209,2025-01-14T19:40:01,CUST-1128,Programming Guide,books,2,39.99,79.98,credit_card,completed
TXN-0210,2025-01-14T20:05:45,CUST-1025,Wireless Headphones,electronics,1,79.99,79.99,credit_card,completed
TXN-0211,2025-01-14T20:36:12,CUST-1184,Coffee Maker,home,1,69.99,69.99,credit_card,completed
TXN-0212,2025-01-14T22:08:30,CUST-1019,Running Shoes,sports,1,89.99,89.99,paypal,completed
TXN-0213,2025-01-14T22:25:05,CUST-1164,Denim Jeans,clothing,1,59.99,59.99,credit_card,completed
TXN-0214,2025-01-14T23:20:17,CUST-1020,Desk Lamp,home,1,44.99,44.99,debit_card,completed
TXN-0215,2025-01-15T00:05:18,CUST-1057,Cotton T-Shirt,clothing,2,29.99,59.98,credit_card,completed
TXN-0216,2025-01-15T00:46:56,CUST-1185,Yoga Mat,sports,3,34.99,104.97,crypto,completed
TXN-0217,2025-01-15T01:03:23,CUST-1074,USB-C Cable,electronics,2,12.99,25.98,credit_card,completed
TXN-0218,2025-01-15T01:18:12,CUST-1012,Novel Bestseller,books,1,14.99,14.99,credit_card,completed
TXN-0219,2025-01-15T02:09:48,CUST-1058,Cookbook,books,2,24.99,49.98,paypal,refunded
TXN-0220,2025-01-15T02:17:24,CUST-9003,Cotton T-Shirt,clothing,1,29.99,500.0,crypto,completed
TXN-0221,2025-01-15T03:08:19,CUST-1002,Cotton T-Shirt,clothing,1,29.99,29.99,debit_card,completed
TXN-0222,2025-01-15T03:15:14,CUST-1017,Water Bottle,sports,1,19.99,19.99,debit_card,completed
TXN-0223,2025-01-15T03:17:28,CUST-1064,Phone Case,electronics,1,24.99,24.99,credit_card,completed
TXN-0224,2025-01-15T03:29:44,CUST-1078,Coffee Maker,home,1,69.99,69.99,credit_card,completed
TXN-0225,2025-01-15T05:59:36,CUST-9007,Cookbook,books,3,24.99,200.0,crypto,completed
TXN-0226,2025-01-15T07:54:23,CUST-1026,Throw Pillow,home,1,22.99,22.99,paypal,completed
TXN-0227,2025-01-15T08:03:51,CUST-9008,Denim Jeans,clothing,2,59.99,500.0,crypto,completed
TXN-0228,2025-01-15T08:12:51,CUST-1029,Water Bottle,sports,1,19.99,19.99,credit_card,completed
TXN-0229,2025-01-15T11:19:52,CUST-1059,Running Shoes,sports,1,89.99,89.99,credit_card,completed
TXN-0230,2025-01-15T14:43:13,CUST-1131,Winter Jacket,clothing,2,129.99,259.98,paypal,completed
TXN-0231,2025-01-15T15:10:05,CUST-1145,Wireless Headphones,electronics,2,79.99,159.98,credit_card,completed
TXN-0232,2025-01-15T16:09:53,CUST-1112,USB-C Cable,electronics,3,12.99,38.97,credit_card,completed
TXN-0233,2025-01-15T16:33:39,CUST-1041,Water Bottle,sports,1,19.99,19.99,credit_card,completed
TXN-0234,2025-01-15T17:07:59,CUST-1097,USB-C Cable,electronics,1,12.99,12.99,paypal,completed
TXN-0235,2025-01-15T17:35:32,CUST-1105,USB-C Cable,electronics,1,12.99,12.99,credit_card,completed
TXN-0236,2025-01-15T17:45:27,CUST-1144,Wireless Headphones,electronics,1,79.99,79.99,paypal,completed
TXN-0237,2025-01-15T19:00:57,CUST-1021,Wireless Headphones,electronics,1,79.99,79.99,credit_card,completed
TXN-0238,2025-01-15T19:45:27,CUST-1043,Coffee Maker,home,1,69.99,69.99,credit_card,completed
TXN-0239,2025-01-16T00:25:54,CUST-9008,Denim Jeans,clothing,3,59.99,500.0,crypto,completed
TXN-0240,2025-01-16T02:23:16,CUST-1064,Coffee Maker,home,2,69.99,139.98,debit_card,completed
TXN-0241,2025-01-16T02:48:34,CUST-1197,Phone Case,electronics,1,24.99,24.99,debit_card,completed
TXN-0242,2025-01-16T02:57:54,CUST-9006,USB-C Cable,electronics,1,12.99,200.0,crypto,completed
TXN-0243,2025-01-16T03:29:06,CUST-9003,USB-C Cable,electronics,1,12.99,50.0,crypto,completed
TXN-0244,2025-01-16T04:12:52,CUST-9007,Water Bottle,sports,3,19.99,50.0,crypto,completed
TXN-0245,2025-01-16T05:06:15,CUST-9004,Yoga Mat,sports,3,34.99,50.0,crypto,completed
TXN-0246,2025-01-16T06:46:57,CUST-1140,Novel Bestseller,books,2,14.99,29.98,credit_card,completed
TXN-0247,2025-01-16T08:17:28,CUST-9003,Wireless Headphones,electronics,3,79.99,500.0,crypto,completed
TXN-0248,2025-01-16T11:35:59,CUST-1027,Coffee Maker,home,2,69.99,139.98,credit_card,completed
TXN-0249,2025-01-16T11:35:59,CUST-1185,Yoga Mat,sports,1,34.99,34.99,debit_card,completed
TXN-0250,2025-01-16T14:05:38,CUST-1011,Programming Guide,books,1,39.99,39.99,credit_card,completed
TXN-0251,2025-01-16T14:06:51,CUST-1185,Winter Jacket,clothing,2,129.99,259.98,credit_card,completed
